Universitat AutÛnoma de Barcelona,45.1
Texas A&M University,45
Universidad de Chile,45
Stockholm University,44.8
Technische Universit‰t Wien,44.7
Universidad AutÛnoma de Madrid,44.7
University of Aberdeen,44.6
Vrije Universiteit Brussel (VUB),44.5
Georg-August-Universit‰t Gˆttingen,44.2
University of Cape Town,44.1
University of Virginia,44.1
Keio University,44
King Fahd University of Petroleum & Minerals (KFUPM),44
Vanderbilt University,44
Waseda University,43.7
Sapienza - Universit‡ di Roma,43.5
Scuola Normale Superiore di Pisa,43.4
University of Reading,43.3
University of Colorado at Boulder,43.2
Al-Farabi Kazakh National University,43.1
Dartmouth College,43.1
University of Newcastle,43.1
University of Notre Dame,42.9
Western University,42.8
Universidad Complutense de Madrid (UCM),42.7
University of Wollongong,42.7
Universidade Estadual de Campinas (Unicamp),42.1
Arizona State University,42
Victoria University of Wellington,42
Radboud University Nijmegen,41.4
Universiti Teknologi Malaysia (UTM),41.4
Tel Aviv University,41.3
"University of California, Irvine (UCI)",41.3
Vrije Universiteit Amsterdam,41.3
Loughborough University,41.2
University of Antwerp,40.9
Queensland University of Technology (QUT),40.7
TELECOM ParisTech,40.7
National Cheng Kung University,40.4
Georgetown University,40.1
National Chiao Tung University,40
Universit‰t Hamburg,40
University of Canterbury,40
Curtin University,39.9
Novosibirsk State University,39.8
"University of Illinois, Chicago (UIC)",39.8
University of Calgary,39.7
Saint-Petersburg State University,39.6
Universidad de Los Andes Colombia,39.6
Universit‡ degli Studi di Padova (UNIPD),39.6
Macquarie University,39.5
RMIT University,39.2
Maastricht University,39
Queen's University,39
University of Leicester,39
Sciences Po Paris,38.9
Rheinische Friedrich-Wilhelms-Universit‰t Bonn,38.8
American University of Beirut (AUB),38.7
Universidad de Navarra,38.5
University of Sussex,38.4
Chulalongkorn University,38.3
Kyung Hee University,38.3
Ecole des Ponts ParisTech,37.8
National Taiwan University of Science and Technology,37.6
UniversitÈ Libre de Bruxelles (ULB),37.6
Tufts University,37.5
Universidad Nacional de Colombia,37.5
University of Paris,37.5
University of Gothenburg,37.3
Technion - Israel Institute of Technology,37.2
Wuhan University,37.2
"National University of Ireland, Galway (NUIG)",37.1
Technische Universit‰t Darmstadt,37
Hong Kong Baptist University (HKBU),36.9
"Rutgers - The State University of New Jersey, New Brunswick",36.8
UniversitÈ Paris-Sud 11,36.8
University of Arizona,36.8
Tongji University,36.7
Universit‰t Innsbruck,36.6
University of Waikato,36.6
Khalifa University,36.5
Tomsk State University,36.5
University of Tsukuba,36.3
Deakin University,36.1
Indian Institute of Technology Madras (IITM),36.1
University of Miami,36.1
University of South Australia (UniSA),35.9
University of Surrey,35.9
Qatar University,35.8
Beijing Normal University,35.7
Harbin Institute of Technology,35.7
Universit‰t Stuttgart,35.6
Dalhousie University,35.4
Indian Institute of Technology Kharagpur (IITKGP),35.2
King Saud University (KSU),35.2
University of Ottawa,35.2
Bauman Moscow State Technical University,35.1
North Carolina State University,35
Universitat Pompeu Fabra,35
Massey University,34.9
National Yang Ming University,34.9
Sun Yat-sen University,34.9
University of Turku,34.9
Charles University,34.8
Indian Institute of Technology Kanpur (IITK),34.8
Royal Holloway University of London,34.8
Universit‰t Frankfurt am Main,34.8
University of Tasmania,34.8
University of Indonesia,34.7
University of Strathclyde,34.7
Universidad Carlos III de Madrid,34.6
Universiti Brunei Darussalam (UBD),34.6
Universitat PolitËcnica de Catalunya,34.5
University of Tartu,34.4
Moscow Institute of Physics and Technology State University,34.3
Universit‡ degli Studi di Milano,34.3
University of Dundee,34.3
UniversitÈ Paris 1 PanthÈon-Sorbonne,34.2
"University of Massachusetts, Amherst",34.2
Xi'an Jiaotong University,34.1
Universit‰t Kˆln,34
"SOAS - School of Oriental and African Studies, University of London",33.9
University College Cork (UCC),33.7
Technische Universit‰t Graz,33.6
ENS Paris-Saclay,33.5
Indiana University Bloomington,33.5
Heriot-Watt University,33.4
Mahidol University,33.4
Simon Fraser University,33.4
Universit‰t Mannheim,33.4
University of East Anglia (UEA),33.4
Universit‰t Erlangen-N¸rnberg,33.3
Griffith University,33.2
Universitas Gadjah Mada,33.2
Gwangju Institute of Science and Technology (GIST),33.1
National Research University - Higher School of Economics (HSE),33.1
Aalborg University,33
Linkˆping University,33
University of Hawaii at M?Ånoa,32.9
Virginia Polytechnic Institute (Virginia Tech),32.7
"Birkbeck College, University of London",32.6
"National Research Nuclear University ""MEPhI"" (Moscow Engineering Physics Institute)",32.4
United Arab Emirates University,32.4
Bandung Institute of Technology (ITB),32.3
Ewha Womans University,32.3
National Taiwan Normal University,32.3
Hiroshima University,32.2
IE University,32.1
George Washington University,32
Universidad Politecnica de Valencia,32
Jagiellonian University,31.9
University of Lisbon,31.9
UmeÂ University,31.8
Universit‰t Jena,31.8
Universit‰t Ulm,31.8
University at Buffalo SUNY,31.8
Northeastern University,31.7
Pontificia Universidad CatÛlica Argentina Santa MarÌa de los Buenos Aires (UCA),31.7
University of Jyv‰skyl‰,31.6
Westf‰lische Wilhelms-Universit‰t M¸nster,31.3
Politecnico di Torino,31.2
"City, University of London",31.1
University of Warsaw,31.1
Belarus State University,31
UniversitÈ Grenoble-Alpes (UGA),31
University of Porto,30.9
University of Utah,30.9
"University of Chemistry and Technology, Prague",30.8
Lincoln University,30.7
University of the Philippines,30.7
Universidade Federal do Rio de Janeiro,30.6
Brunel University,30.5
Norwegian University of Science and Technology,30.5
Stony Brook University,30.5
Tokyo Medical and Dental University,30.5
Yeshiva University,30.5
University of Victoria,30.4
Ural Federal University,30.4
Moscow State Institute of International Relations ñ MGIMO University,30.3
"University of California, Santa Cruz (UCSC)",30.2
Nankai University,29.8
University of Kent,29.8
University of Essex,29.7
American University of Sharjah,29.6
Tilburg University,29.6
University of Kansas,29.4
University of Southern Denmark,29.4
University of Oulu,29.3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),29.2
Oxford Brookes University,29.1
James Cook University (JCU),29
University of Connecticut,29
Sultan Qaboos University,28.9
Taipei Medical University,28.9
UniversitÈ de Strasbourg,28.9
Universiti Teknologi Brunei,28.9
Indian Institute of Technology Roorkee (IITR),28.8
Rensselaer Polytechnic Institute,28.8
Swinburne University of Technology,28.8
Universidad de Palermo,28.8
Tomsk Polytechnic University,28.7
University of Macau,28.7
Universit‡ degli Studi di Trento,28.6
Universit‡ di Pisa,28.6
University of Tromso,28.6
Kazan Federal University,28.5
RUDN University,28.5
University of Colorado at Denver,28.5
Kobe University,28.4
Tampere University,28.4
The American University in Cairo,28.4
University of St Gallen (HSG),28.3
Wake Forest University,28.3
Huazhong University of Science and Technology,28.2
La Trobe University,28.2
National University of Sciences and Technology (NUST) Islamabad,28.2
Universidad Austral,28.2
University of The Witwatersrand,28.2
Washington State University,28.2
University of Coimbra,28.1
HUFS ñ Hankuk (Korea) University of Foreign Studies,28
Sharif University of Technology,28
University of Tennessee,28
Johannes Gutenberg Universit‰t Mainz,27.9
National Sun Yat-sen University,27.9
Chung-Ang University,27.8
Johannes Kepler Universit‰t Linz (JKU),27.8
Shanghai University,27.8
Laval University,27.7
"Goldsmiths, University of London",27.6
L.N. Gumilyov Eurasian National University,27.5
Ben Gurion University of The Negev,27.4
Tulane University,27.4
Illinois Institute of Technology,27.3
Universidade Nova de Lisboa,27.3
University of Iowa,27.3
Flinders University,27.2
Universit‡ degli Studi di Napoli Federico II,27.2
Universit‰t Konstanz,27.2
National Central University,27.1
Stellenbosch University,27.1
Dublin City University (DCU),27
Tianjin University,27
University of Liege,27
Boston College,26.7
Ruhr-Universit‰t Bochum,26.7
Universidad de Zaragoza,26.7
Universidad PolitÈcnica de Madrid,26.5
Beijing Institute of Technology,26.4
ITMO University,26.4
Universidad de Belgrano,26.3
Peter the Great St.Petersburg Polytechnic University,26.2
Universidade Federal de S„o Paulo (UNIFESP),26.2
University of Saskatchewan,26.2
Aston University,26
Auckland University of Technology,26
Bond University,26
Chiba University,26
Colorado State University,26
UCSI University,26
Florida State University,25.8
Hitotsubashi University,25.8
Universit‡ degli Studi di Firenze (UNIFI),25.8
KoÁ University,25.7
"National University of Science and Technology ""MISIS""",25.7
Xiamen University,25.7
Dongguk University,25.6
National Technical University of Athens,25.6
Sogang University,25.6
"University of California, Riverside (UCR)",25.6
UniversitÈ de Bordeaux,25.5
Vilnius University,25.5
"University of Maryland, Baltimore County",25.4
Oregon State University,25.3
Beihang University,25.2
Concordia University,25.2
Julius-Maximilians-Universit‰t W¸rzburg,25.2
Swansea University,25.2
The Catholic University of Korea,25.2
University of Science and Technology Beijing,25.2
Brandeis University,25.1
Pontificia Universidad Javeriana,25.1
Shandong University,25.1
Universit‰t des Saarlandes,25.1
Western Sydney University,25.1
Yokohama City University,25.1
Pontificia Universidad CatÛlica del Per˙,25
The University of Georgia,25
University of Delhi,25
Singapore Management University,24.9
Christian-Albrechts-Universit‰t zu Kiel,24.8
University of Stirling,24.8
South China University of Technology,24.7
Universidad Externado de Colombia,24.7
"Universidade Estadual Paulista ""J˙lio de Mesquita Filho""",24.6
Universiti Teknologi Petronas (Petronas),24.6
Aberystwyth University,24.5
Chang Gung University,24.5
Jilin University,24.5
University of Canberra,24.5
Wayne State University,24.5
Amirkabir University of Technology,24.4
Universidad de Santiago de Chile (USACH),24.4
Indian Institute of Technology Guwahati (IITG),24.3
Lappeenranta University of Technology,24.3
M.O.Auezov South Kazakhstan State University,24.3
Universidad de Montevideo,24.3
UniversitÈ Aix-Marseille,24.3
University of Delaware,24.3
V.N. Karazin Kharkiv National University,24.3
Czech Technical University In Prague,24.2
UniversitÈ de Montpellier,24.2
University of Eastern Finland,24.2
Bilkent University,24
Institut National des Sciences AppliquÈes de Lyon (INSA),23
King Khalid University,22
Southeast University,23
Umm Al-Qura University (UQU),24
Universidad de Alcal·,22
Universidad de la Habana,23
University of Johannesburg,22
University of Szeged,24
University of Texas Dallas,22
Iowa State University,24
Martin-Luther-Universit‰t Halle-Wittenberg,22
National Taipei University of Technology,24
Quaid-i-azam University,23
Taylor's University,24
Universidad de Costa Rica,23
Universidad de Granada,24
Universit‡ Cattolica del Sacro Cuore,23
Universit· degli Studi di Roma - Tor Vergata,24
UniversitÈ Paul Sabatier Toulouse III,24
University of Ulsan,24
York University,23
Bangor University,23
Cairo University,23
Inha University,24
Justus-Liebig-Universit‰t Gieﬂen,22
National Research Saratov State University,24
Pusan National University,23
Sabanci University,23
Technische Universit‰t Braunschweig,22
Universit‰t Bremen,24
University of Limerick (UL),24
Warsaw University of Technology,24
Clark University,22
Coventry University,24
East China Normal University,24
Far Eastern Federal University,22
Kumamoto University,24
Nagasaki University,24
Renmin (Peopleís) University of China,24
Universit‰t Leipzig,24
UniversitÈ PanthÈon-Assas (Paris 2),24
Abo Akademi University,24
Imam Abdulrahman Bin Faisal University (IAU) (formerly University of Dammam),24
Karl-Franzens-Universit‰t Graz,24
Management and Science University,24
Southern Federal University,22
Taras Shevchenko National University of Kyiv,22
Universit‡ degli Studi di Torino (UNITO),24
Universit‰t Bayreuth,22
Bar-Ilan University,23
East China University of Science and Technology,23
Hallym University,24
Lehigh University,24
Masaryk University,24
National Chengchi University,22
Osaka City University,22
Universidad Pontificia Bolivariana,22
University of Aveiro,23
"University of Missouri, Columbia",24
University of Pretoria,23
Aristotle University of Thessaloniki,24
Drexel University,23
Kazakh National Pedagogical University Abai,23
Kazakh National Technical University after K.I.Satpayev,23
New School University,23
Okayama University,24
Universidad Anahuac,22
UniversitÈ du QuÈbec,24
UniversitÈ Saint-Joseph de Beyrouth,24
University of Cincinnati,23
University of Nebraska,24
University of South Carolina at Columbia,22
Chonbuk National University,22
Dalian University of Technology,22
Konkuk University,23
Murdoch University,22
University of Guelph,24
"University of Massachusetts, Boston",23
University of Oklahoma,24
University of Vermont,24
Howard University,22
Kanazawa University,24
Lebanese American University,22
Syracuse University,22
Universit‡ degli Studi di Pavia (UNIPV),24
Universitat de Valencia,22
UniversitÈ de Fribourg,22
University of Balamand,23
"Kingston University, London",24
Lingnan University (Hong Kong),24
Middle East Technical University,22
Universidad Nacional de La Plata,24
Universitat Ramon Llull,23
Universiti Utara Malaysia (UUM),23
University of Ljubljana,24
University of Milano-Bicocca,23
University of Mons,24
Vilnius Gediminas Technical University,24
University of CÙte d'Azur,23
Ajou University,22
American University,23
American University in Dubai,24
Ateneo de Manila University,24
Bogor Agricultural University,23
Central Queensland University,23
Chiang Mai University,23
City University of New York,24
Clarkson University,24
College of William & Mary,22
Gifu University,23
Holy Spirit University of Kaslik,22
Instituto TecnolÛgico de Buenos Aires (ITBA),22
Iran University of Science and Technology,23
Keele University,22
Kyungpook National University,24
Lobachevsky State University of Nizhni Novgorod,24
Michigan Technological University,22
Niigata University,22
Palack˝ University in Olomouc,22
Pontificia Universidade CatÛlica do Rio de Janeiro - PUC - Rio,24
Sichuan University,23
Smith College,22
Tallinn University of Technology,22
Thammasat University,22
Tokyo Metropolitan University,24
Tokyo University of Agriculture and Technology,24
Ulster University,22
Universidad de ConcepciÛn,23
Universidad de Salamanca,23
Universidad de San AndrÈs,23
Universidad de Sevilla,22
Universidad Panamericana (UP),23
Universidad Torcuato Di Tella,23
Universit‰t Duisburg-Essen,22
Universit‰t Regensburg,24
University of Bradford,23
University of Debrecen,24
University of Hyderabad,24
University of Jordan,24
University of Kentucky,23
University of Klagenfurt,23
University of Manitoba,24
University of New Mexico,24
University of Oregon,22
University of Portsmouth,24
University of South Florida,23
University of Tehran,22
Victoria University,23
Virginia Commonwealth University,23
Worcester Polytechnic Institute,24
Airlangga University,23
BogaziÁi ‹niversitesi,24
Brno University of Technology,23
Carleton University,24
Charles Darwin University,22
China Agricultural University,22
Edith Cowan University (ECU),23
Eotvos Lorand University,24
Indiana University-Purdue University Indianapolis,22
Instituto PolitÈcnico Nacional (IPN),22
Instituto TecnolÛgico Autonomo de MÈxico (ITAM),23
International Islamic University Malaysia (IIUM),23
Istanbul Technical University,24
Jadavpur University,22
Jordan University of Science and Technology,24
Kagoshima University,24
Kaohsiung Medical University,24
Kazakh National Agrarian University,24
Leibniz Universit‰t Hannover,22
Louisiana State University,22
Missouri University of Science and Technology,23
National and Kapodistrian University of Athens,24
National Chung Hsing University,24
"National Technical University ""Kharkiv Polytechnic Institute""",24
Osaka Prefecture University,23
Philipps-Universit‰t Marburg,23
Pontificia Universidade CatÛlica de S„o Paulo (PUC-SP),23
"Rutgers - The State University of New Jersey, Newark",24
Samara National Research University (Samara University),22
Sejong University,24
Stevens Institute of Technology,24
Temple University,24
Universidad de Antioquia,22
Universidad del Pais Vasco,22
Universidad Iberoamericana (UIA),23
Universidade de Santiago de Compostela,22
Universidade Federal de Minas Gerais,23
Universidade Federal do Rio Grande Do Sul,23
Universit‡ degli Studi di Genova,24
Universit‰t Hohenheim,24
UniversitÈ Claude Bernard Lyon 1,23
UniversitÈ de Sherbrooke,22
Universiti Teknologi MARA (UiTM),23
University of Denver,22
University of Haifa,23
University of Houston,22
University of Minho,24
University of PÈcs,22
University of Plymouth,22
University of Seoul,24
University of Sharjah,22
University of Westminster,24
University of Windsor,23
Zayed University,24
Abu Dhabi University,23
Beijing Jiaotong University,23
Beijing University of Technology,24
Bournemouth University,23
Central South University,24
Chonnam National University,22
Chungnam National University,24
Clemson University,24
Dankook University,22
Georgia State University,23
Hunan University,22
Kansas State University,22
Lahore University of Management Sciences (LUMS),23
London South Bank University,22
Manipal Academy of Higher Education,22
Maynooth University,24
Memorial University of Newfoundland,22
"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",24
Northumbria University at Newcastle,22
